Brand Name,Name of the Product,price,Return/Exchange,Expected Delivery,Availability,Product URL
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","5,399",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjcxMjU4NDI1MTU4MTU0OjE3MTc0MTM1ODM6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1AK26YBQS39DZ%26dib%3DeyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1717413583%26sprefix%3D%252Caps%252C212%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,899",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjcxMjU4NDI1MTU4MTU0OjE3MTc0MTM1ODM6c3BfYXRmOjIwMDk2NjA4NzUwNDk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1AK26YBQS39DZ%26dib%3DeyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1717413583%26sprefix%3D%252Caps%252C212%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","9,999",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjcxMjU4NDI1MTU4MTU0OjE3MTc0MTM1ODM6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1AK26YBQS39DZ%26dib%3DeyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1717413583%26sprefix%3D%252Caps%252C212%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","2,160",7 days Replacement,"Thursday, 6 June",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-6
Medellin,Medellin 38” Acoustic Guitar with (free learning course) Matt finish with Picks(Blue),"1,999",7 days Replacement,"Wednesday, 5 June",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-course/dp/B0CJY91RB1/ref=sr_1_7?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-7
Intern,"Intern INT-38C-SB Right hand Acoustic Guitar Kit, With Bag, Strings, Pick, Strap and String Winder (Sunburst)","2,199",7 days Replacement,"Friday, 7 June",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_8?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-8
Intern,Intern INT-38C Acoustic Guitar Kit (Blue),"2,199",7 days Replacement,"Sunday, 9 June",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_11?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-11
Intern,"Intern 38C Acoustic Steel-string Guitar Premium White Cutaway Design with carry bag, strings, guitar strap and plectrums (INT-38C-WH)","2,199",7 days Replacement,"Monday, 10 June",In stock,https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_12?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-12
YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,399",7 days Replacement,"Wednesday, 12 June",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_13?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-13
Medellin,"Medellin 38"" Blue Acoustic Guitar premium wood with free online learning course, Set Of Strings, Strap, Bag and 3 Picks","2,199",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/Medellin-MED-BLU-C-Linden-Acoustic-Guitar/dp/B07NBMWHJW/ref=sr_1_14?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-14
