Brand_Name,Smartphone_name,Colour,RAM,ROM,Primary_Camera,Secondary_Camera,Display_Size,Battery_Capacity,Price,Product_URL
realme,realme C53 ,Champion Black,6 GB RAM , 128 GB ROM ,108MP + 2MP , 8MP Front Camera,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,"₹9,999",https://www.flipkart.com/realme-c53-champion-black-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGGM7CTGXU&lid=LSTMOBGTEVGGM7CTGXUNSRWPW&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGTEVGGM7CTGXU.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
realme,realme C53 ,Champion Gold,6 GB RAM , 64 GB ROM ,108MP + 2MP , 8MP Front Camera,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,"₹10,999",https://www.flipkart.com/realme-c53-champion-gold-64-gb/p/itm5df90168ecd05?pid=MOBGQY939DG9GBQ8&lid=LSTMOBGQY939DG9GBQ8AQQV4I&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGQY939DG9GBQ8.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
SAMSUNG,SAMSUNG Galaxy F15 5G ,Groovy Violet,4 GB RAM , 128 GB ROM ,50MP + 5MP + 2MP , 13MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,"₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGYBAVSDFYZFNY.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
SAMSUNG,SAMSUNG Galaxy F15 5G ,Jazzy Green,6 GB RAM , 128 GB ROM ,50MP + 5MP + 2MP , 13MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,"₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGYBAVKWJWSNNQ.SEARCH&ppt=sp&ppn=sp&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
SAMSUNG,SAMSUNG Galaxy F15 5G ,Groovy Violet,8 GB RAM , 128 GB ROM ,50MP + 5MP + 2MP , 13MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,"₹15,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmb8432b2780c2d?pid=MOBHYFPPEKZXYEQP&lid=LSTMOBHYFPPEKZXYEQPPNPWO5&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBHYFPPEKZXYEQP.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
Google,Google Pixel 7a ,Snow,8 GB RAM , 128 GB ROM,64MP (OIS) + 13MP , 13MP Front Camera,15.49 cm (6.1 inch) Full HD+ Display,4300 mAh Battery,"₹36,999",https://www.flipkart.com/google-pixel-7a-snow-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMZXYXCZCH&lid=LSTMOBGZCQMZXYXCZCHXHSAGJ&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGZCQMZXYXCZCH.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
SAMSUNG,SAMSUNG Galaxy F15 5G ,Jazzy Green,8 GB RAM , 128 GB ROM ,50MP + 5MP + 2MP , 13MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,"₹15,999",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm837e04e38f8dd?pid=MOBHYFPPYRCQZMHG&lid=LSTMOBHYFPPYRCQZMHGYDVLHO&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBHYFPPYRCQZMHG.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
Google,Google Pixel 7a ,Sea,8 GB RAM , 128 GB ROM,64MP (OIS) + 13MP , 13MP Front Camera,15.49 cm (6.1 inch) Full HD+ Display,4300 mAh Battery,"₹36,999",https://www.flipkart.com/google-pixel-7a-sea-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQM8PZEGRWU&lid=LSTMOBGZCQM8PZEGRWUHY0SFT&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGZCQM8PZEGRWU.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
LAVA,LAVA Blaze ,Glass Black,3 GB RAM , 64 GB ROM ,13MP Triple AI Camera + 8MP front camera , 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Polymer Battery,"₹6,240",https://www.flipkart.com/lava-blaze-glass-black-64-gb/p/itmbe44c3b1ad1a3?pid=MOBGEUHVHACP42QV&lid=LSTMOBGEUHVHACP42QVSOGXJF&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGEUHVHACP42QV.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
ringme,ringme R1 PRO 2183,-,32 MB RAM , 32 MB ROM,0.3MP Rear Camera,-,4.5 cm (1.77 inch) Display,1000 mAh Battery,₹650,https://www.flipkart.com/ringme-r1-pro-2183/p/itm0d99965528a88?pid=MOBGYGM4BEW9JQ4J&lid=LSTMOBGYGM4BEW9JQ4JAKSDMF&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGYGM4BEW9JQ4J.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
